order_id,order_date,origin_port,carrier,tpt,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight,delivery_status,is_late,total_weight
1447296447,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,808,14.3,Early,False,14.3
1447158015,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,3188,87.94,Early,False,87.94
1447138899,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2331,61.2,Early,False,61.2
1447363528,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,847,16.16,Early,False,16.16
1447363981,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2163,52.34,Early,False,52.34
1447351441,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,3332,92.8,Early,False,92.8
1447320236,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,1782,46.9,Early,False,46.9
1447158019,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,427,2.86,Early,False,2.86
1447219341,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,1291,26.6,Early,False,26.6
1447398416,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2294,62.2,Early,False,62.2
1447381679,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2766,75.5,Early,False,75.5
1447170785,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,798,14.3,Early,False,14.3
1447155056,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,739,73.9,Early,False,73.9
1447257265,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,280,7.8,Early,False,7.8
1447240989,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,574,59.5,Early,False,59.5
1447257231,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,556,52.7,Early,False,52.7
1447260653,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,544,58.5,Early,False,58.5
1447139375,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,1151,181.7,Early,False,181.7
1447308590,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,1404,227.2,Early,False,227.2
1447191271,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,662,74.1,Early,False,74.1
1447191284,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,836,80.43,Early,False,80.43
1447352426,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,2063,265.1,Early,False,265.1
1447211829,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,2114,267.1,Early,False,267.1
1447232833,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,2108,271.1,Early,False,271.1
1447205081,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,1120,112.6,Early,False,112.6
1447365980,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702654,PLANT16,PORT09,706,61.8,Early,False,61.8
1447157118,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,889,107.88,Early,False,107.88
1447398413,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,1793,216.57,Early,False,216.57
1447377319,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,491,27.81,Early,False,27.81
1447257239,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,1044,112.6,Early,False,112.6
1447368959,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702653,PLANT16,PORT09,447,32.9,Early,False,32.9
1447308591,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,328,13.36,Early,False,13.36
